SO2,NOx,RSPM,AQI,City,latitude,longitude
36,76,185,157,Vasai,19.366636,72.816101
46,81,143,129,Vasai,19.366636,72.816101
36,80,183,155,Vasai,19.366636,72.816101
40,72,191,161,Vasai,19.366636,72.816101
20,69,147,131,Vasai,19.366636,72.816101
17,71,163,142,Vasai,19.366636,72.816101
19,49,149,133,Vasai,19.366636,72.816101
41,71,114,109,Vasai,19.366636,72.816101
25,53,113,109,Vasai,19.366636,72.816101
27,37,144,129,Vasai,19.366636,72.816101
26,52,148,132,Vasai,19.366636,72.816101
18,37,155,137,Vasai,19.366636,72.816101
18,39,206,171,Vasai,19.366636,72.816101
18,84,199,166,Vasai,19.366636,72.816101
18,53,225,183,Vasai,19.366636,72.816101
17,41,251,201,Vasai,19.366636,72.816101
18,60,209,173,Vasai,19.366636,72.816101
20,50,145,130,Vasai,19.366636,72.816101
18,85,119,113,Vasai,19.366636,72.816101
21,52,130,120,Vasai,19.366636,72.816101
24,78,126,117,Vasai,19.366636,72.816101
24,59,113,109,Vasai,19.366636,72.816101
27,33,83,83,Vasai,19.366636,72.816101
31,41,95,95,Vasai,19.366636,72.816101
34,53,105,103,Vasai,19.366636,72.816101
20,28,116,111,Vasai,19.366636,72.816101
19,36,134,123,Vasai,19.366636,72.816101
19,60,117,111,Vasai,19.366636,72.816101
21,53,115,110,Vasai,19.366636,72.816101
21,26,121,114,Vasai,19.366636,72.816101
25,33,140,127,Vasai,19.366636,72.816101
29,31,104,103,Vasai,19.366636,72.816101
32,32,107,105,Vasai,19.366636,72.816101
33,34,124,116,Vasai,19.366636,72.816101
22,30,142,128,Vasai,19.366636,72.816101
19,34,205,170,Vasai,19.366636,72.816101
21,23,132,121,Vasai,19.366636,72.816101
28,31,150,133,Vasai,19.366636,72.816101
23,36,149,133,Vasai,19.366636,72.816101
27,35,129,119,Vasai,19.366636,72.816101
20,58,121,114,Vasai,19.366636,72.816101
25,39,90,90,Vasai,19.366636,72.816101
22,25,93,93,Vasai,19.366636,72.816101
20,69,92,92,Vasai,19.366636,72.816101
20,12,86,86,Vasai,19.366636,72.816101
21,13,87,87,Vasai,19.366636,72.816101
21,17,110,107,Vasai,19.366636,72.816101
20,21,134,123,Vasai,19.366636,72.816101
20,20,143,129,Vasai,19.366636,72.816101
21,21,179,153,Vasai,19.366636,72.816101
21,22,155,137,Vasai,19.366636,72.816101
22,13,130,120,Vasai,19.366636,72.816101
22,12,104,103,Vasai,19.366636,72.816101
19,17,126,117,Vasai,19.366636,72.816101
18,19,111,107,Vasai,19.366636,72.816101
20,18,149,133,Vasai,19.366636,72.816101
20,13,150,133,Vasai,19.366636,72.816101
21,12,111,107,Vasai,19.366636,72.816101
19,12,142,128,Vasai,19.366636,72.816101
21,14,234,189,Vasai,19.366636,72.816101
21,17,341,291,Vasai,19.366636,72.816101
24,20,314,264,Vasai,19.366636,72.816101
18,12,203,169,Vasai,19.366636,72.816101
19,21,152,135,Vasai,19.366636,72.816101
19,18,98,98,Vasai,19.366636,72.816101
17,12,78,78,Vasai,19.366636,72.816101
17,12,84,84,Vasai,19.366636,72.816101
19,10,90,90,Vasai,19.366636,72.816101
19,13,104,103,Vasai,19.366636,72.816101
19,8,65,65,Vasai,19.366636,72.816101
19,13,71,71,Vasai,19.366636,72.816101
22,20,77,77,Vasai,19.366636,72.816101
